date,round,home,away,home_score,away_score,broadcast
2026-04-04,1R,화천KSPO,강진스완스,2,0,없음
2026-04-04,1R,수원FC위민,서울시청,2,1,없음
2026-04-04,1R,세종스포츠토토,상무여자축구단,0,1,없음
2026-04-04,1R,경주한수원WFC,인천현대제철,0,2,없음
2026-04-11,2R,인천현대제철,서울시청,1,0,없음
2026-04-11,2R,경주한수원WFC,세종스포츠토토,1,2,없음
2026-04-11,2R,수원FC위민,화천KSPO,1,0,없음
2026-04-11,2R,상무여자축구단,강진스완스,1,0,없음
2026-04-18,3R,서울시청,세종스포츠토토,2,1,없음
2026-04-18,3R,인천현대제철,수원FC위민,2,1,없음
2026-04-18,3R,경주한수원WFC,강진스완스,1,1,없음
2026-04-18,3R,화천KSPO,상무여자축구단,0,1,없음
2026-04-25,4R,세종스포츠토토,수원FC위민,2,3,없음
2026-04-25,4R,서울시청,강진스완스,0,2,없음
2026-04-25,4R,화천KSPO,인천현대제철,2,2,없음
2026-04-25,4R,상무여자축구단,경주한수원WFC,1,1,없음
2026-05-02,5R,인천현대제철,세종스포츠토토,0,1,없음
2026-05-02,5R,수원FC위민,강진스완스,1,2,없음
2026-05-02,5R,화천KSPO,경주한수원WFC,2,0,없음
2026-05-02,5R,상무여자축구단,서울시청,3,0,없음
2026-05-05,6R,상무여자축구단,수원FC위민,1,3,없음
2026-05-05,6R,세종스포츠토토,화천KSPO,0,1,없음
2026-05-05,6R,강진스완스,인천현대제철,1,3,없음
2026-05-05,6R,경주한수원WFC,서울시청,0,1,없음
2026-05-09,7R,화천KSPO,서울시청,1,0,없음
2026-05-09,7R,경주한수원WFC,수원FC위민,0,2,없음
2026-05-09,7R,세종스포츠토토,강진스완스,3,1,없음
2026-05-09,7R,인천현대제철,상무여자축구단,0,1,없음
2026-05-16,8R,인천현대제철,경주한수원WFC,1,0,없음
2026-05-16,8R,강진스완스,화천KSPO,0,2,없음
2026-05-16,8R,상무여자축구단,세종스포츠토토,1,2,없음
2026-05-27,9R,세종스포츠토토,경주한수원WFC,2,4,없음
2026-05-27,9R,서울시청,인천현대제철,2,1,없음
2026-05-31,10R,강진스완스,경주한수원WFC,2,3,없음
2026-05-31,10R,상무여자축구단,화천KSPO,1,3,없음
2026-05-31,10R,인천현대제철,수원FC위민,0,4,없음
2026-05-31,10R,세종스포츠토토,서울시청,3,1,없음
